"race_state","year","state","mean_spread","sd_spread","mean_spread_act","n_polls","ci_lower","ci_upper","outside_ci"
"2008_Pres_OK",2008,"OK",28.4444444444444,7.56820835982849,31.3,9,23.4998816493565,33.3890072395324,0
"2008_Pres_OR",2008,"OR",-9.46666666666667,4.93218377411154,-16.4,30,-11.2316259630833,-7.70170737024999,1
"2008_Pres_PA",2008,"PA",-6.26829268292683,5.22824423586182,-10.3,82,-7.39992414265698,-5.13666122319668,1
"2008_Pres_RI",2008,"RI",-21.4,4.9295030175465,-27.8,5,-25.7208999062695,-17.0791000937305,1
"2008_Pres_SC",2008,"SC",10,1.73205080756888,9,3,8.04,11.96,0
"2008_Pres_SD",2008,"SD",8.33333333333333,1.15470053837925,8.40000000000001,3,7.02666666666667,9.64,0
"2008_Pres_TN",2008,"TN",14,2.3094010767585,15.1,4,11.7367869447767,16.2632130552233,0
"2008_Pres_TX",2008,"TX",10.0666666666667,4.4475782602392,11.8,15,7.81588151970622,12.3174518136271,0
"2008_Pres_UT",2008,"UT",27.3,8.88256719648098,28.2,10,21.7945278131662,32.8054721868338,0
"2008_Pres_VA",2008,"VA",-2.44615384615385,5.38235185940696,-6.3,65,-3.7546470714745,-1.13766062083319,1
"2008_Pres_VT",2008,"VT",-23.8,5.97494769851586,-37,5,-29.0372725726279,-18.5627274273721,1
"2008_Pres_WA",2008,"WA",-10.8571428571429,5.0709255283711,-17.2,35,-12.5371428571429,-9.17714285714286,1
"2008_Pres_WI",2008,"WI",-7.56818181818182,4.83878577539106,-13.9,44,-8.99795164733849,-6.13841198902514,1
"2008_Pres_WV",2008,"WV",9,1.87082869338697,13.1,5,7.36014634799321,10.6398536520068,1
"2008_Pres_WY",2008,"WY",21.8571428571429,7.38079876952288,32.3,7,16.3893706112155,27.3249151030702,1
"2008_Sen-GR_GA",2008,"GA",4.55555555555556,1.74005108481842,14.88,9,3.41872218014085,5.69238893097026,1
"2008_Sen-GS_MS",2008,"MS",8,4.58257569495584,9.92,5,3.98319529974384,12.0168047002562,0
"2008_Sen-GS_WY",2008,"WY",31.75,11.5289490703475,45.64,4,20.4516299110594,43.0483700889406,1
"2008_Sen-G_AK",2008,"AK",-9.75,8.57807282163851,-1.25,4,-18.1565113652057,-1.34348863479426,1
"2008_Sen-G_CO",2008,"CO",-11.4444444444444,3.84418753155693,-10.31,9,-13.955980298395,-8.93290859049392,0
"2008_Sen-G_GA",2008,"GA",3.73333333333333,2.18653890451379,3,15,2.62679197496584,4.83987469170083,0
"2008_Sen-G_IA",2008,"IA",-21.3333333333333,3.9327683210007,-25.4,6,-24.4802033832577,-18.1864632834089,1
"2008_Sen-G_KS",2008,"KS",24.3333333333333,2.51661147842358,23.6,3,21.4855193568868,27.1811473097799,0
"2008_Sen-G_KY",2008,"KY",4.7,2.58413965910857,5.94,10,3.09833364550818,6.30166635449182,0
"2008_Sen-G_LA",2008,"LA",-14.325,3.90160223497988,-6.39,4,-18.1485701902803,-10.5014298097197,1
"2008_Sen-G_MA",2008,"MA",-28.5,6.45497224367903,-34.93,4,-34.8258727988054,-22.1741272011946,1
"2008_Sen-G_ME",2008,"ME",15.5,3.66450152525162,22.75,8,12.9606299993896,18.0393700006104,1
"2008_Sen-G_MI",2008,"MI",-22.5,3.27108544675922,-28.81,6,-25.1174134815373,-19.8825865184627,1
"2008_Sen-G_MN",2008,"MN",0.0666666666666667,4.89119714628326,-0.0100000000000051,15,-2.40862061183478,2.54195394516812,0
"2008_Sen-G_NC",2008,"NC",-3.81111111111111,3.33358822554861,-8.47,18,-5.35115029989089,-2.27107192233133,1
"2008_Sen-G_NH",2008,"NH",-9.26666666666667,2.9632671801497,-6.34,15,-10.7662867667068,-7.76704656662651,1
"2008_Sen-G_NJ",2008,"NJ",-14.875,5.24914959098818,-14.08,8,-18.5124750858253,-11.2375249141747,0
"2008_Sen-G_NM",2008,"NM",-17.25,3.30403793359983,-22.66,4,-20.4879571749278,-14.0120428250722,1
